CMDLINE C:\Users\boys4\AppData\Local\Programs\Python\Python310\python.exe main.py
MEM 1.484375 1683205717.5683
MEM 35.933594 1683205717.6843
MEM 83.175781 1683205717.7943
MEM 111.894531 1683205717.9054
MEM 152.503906 1683205718.0162
MEM 160.210938 1683205718.1242
MEM 165.976562 1683205718.2342
MEM 182.585938 1683205718.3442
MEM 182.585938 1683205718.4544
MEM 182.585938 1683205718.5624
MEM 182.585938 1683205718.6709
MEM 182.589844 1683205718.7812
MEM 182.589844 1683205718.8901
MEM 182.589844 1683205719.0027
MEM 182.589844 1683205719.1092
MEM 182.589844 1683205719.2162
MEM 182.640625 1683205719.3254
MEM 182.644531 1683205719.4327
MEM 182.644531 1683205719.5415
MEM 182.644531 1683205719.6496
MEM 183.054688 1683205719.7595
MEM 183.058594 1683205719.8716
MEM 183.058594 1683205719.9789
MEM 183.058594 1683205720.0876
MEM 183.058594 1683205720.1941
MEM 183.121094 1683205720.3042
MEM 183.128906 1683205720.4122
MEM 183.128906 1683205720.5211
MEM 183.128906 1683205720.6291
MEM 183.128906 1683205720.7345
MEM 183.128906 1683205720.8465
MEM 183.128906 1683205720.9557
MEM 183.128906 1683205721.0638
MEM 183.128906 1683205721.1733
MEM 183.128906 1683205721.2812
MEM 183.128906 1683205721.3892
MEM 183.121094 1683205721.4983
MEM 183.121094 1683205721.6058
MEM 183.121094 1683205721.7142
MEM 183.121094 1683205721.8225
MEM 183.125000 1683205721.9303
MEM 196.246094 1683205722.0407
MEM 213.789062 1683205722.1496
MEM 214.320312 1683205722.2572
MEM 214.285156 1683205722.3672
MEM 214.285156 1683205722.4782
MEM 214.285156 1683205722.5855
MEM 214.289062 1683205722.6929
MEM 214.550781 1683205722.8041
MEM 215.308594 1683205722.9114
MEM 215.578125 1683205723.0189
MEM 215.578125 1683205723.1301
MEM 215.207031 1683205723.2342
MEM 215.207031 1683205723.3441
MEM 215.207031 1683205723.4532
MEM 215.222656 1683205723.5608
MEM 215.222656 1683205723.6689
MEM 215.222656 1683205723.7772
MEM 215.222656 1683205723.8846
MEM 215.222656 1683205723.9939
MEM 215.222656 1683205724.1014
MEM 215.429688 1683205724.2076
MEM 215.410156 1683205724.3153
MEM 215.421875 1683205724.4272
MEM 215.421875 1683205724.5372
MEM 215.421875 1683205724.6451
MEM 215.472656 1683205724.7525
MEM 215.472656 1683205724.8655
MEM 215.472656 1683205724.9733
MEM 215.472656 1683205725.0811
MEM 215.468750 1683205725.1883
MEM 215.503906 1683205725.3025
MEM 215.503906 1683205725.4121
MEM 215.507812 1683205725.5200
MEM 215.507812 1683205725.6280
MEM 215.507812 1683205725.7380
MEM 215.507812 1683205725.8596
MEM 215.578125 1683205725.9714
MEM 215.660156 1683205726.0811
MEM 215.660156 1683205726.1899
MEM 214.660156 1683205726.2964
MEM 214.660156 1683205726.4047
MEM 214.738281 1683205726.5141
MEM 215.406250 1683205726.6224
MEM 215.828125 1683205726.7315
MEM 215.828125 1683205726.8394
MEM 215.828125 1683205726.9464
MEM 215.828125 1683205727.0543
MEM 215.839844 1683205727.1763
MEM 215.839844 1683205727.2830
MEM 215.863281 1683205727.3947
MEM 215.863281 1683205727.5061
MEM 215.863281 1683205727.6143
MEM 215.863281 1683205727.7360
MEM 215.863281 1683205727.8441
MEM 216.050781 1683205727.9544
MEM 216.050781 1683205728.0661
MEM 216.050781 1683205728.1737
MEM 216.050781 1683205728.2825
MEM 232.363281 1683205728.3934
MEM 260.847656 1683205728.5034
MEM 282.566406 1683205728.6154
MEM 310.765625 1683205728.7274
MEM 335.933594 1683205728.8364
MEM 360.707031 1683205728.9484
MEM 398.031250 1683205729.0603
MEM 412.980469 1683205729.1723
MEM 451.609375 1683205729.2884
MEM 462.925781 1683205729.3943
MEM 504.613281 1683205729.5043
MEM 515.761719 1683205729.6193
MEM 547.062500 1683205729.7313
MEM 589.667969 1683205729.8433
MEM 595.871094 1683205729.9533
MEM 620.316406 1683205730.0653
MEM 662.730469 1683205730.1743
MEM 695.777344 1683205730.2873
MEM 695.777344 1683205730.3983
MEM 721.535156 1683205730.5134
MEM 763.062500 1683205730.6223
MEM 805.261719 1683205730.7323
MEM 821.109375 1683205730.8453
MEM 821.109375 1683205730.9573
MEM 849.093750 1683205731.0693
MEM 891.726562 1683205731.1783
MEM 933.292969 1683205731.2883
MEM 976.007812 1683205731.4023
MEM 977.550781 1683205731.5163
MEM 977.550781 1683205731.6263
MEM 998.261719 1683205731.7373
MEM 1040.871094 1683205731.8493
MEM 1083.617188 1683205731.9583
MEM 1125.636719 1683205732.0734
MEM 1168.398438 1683205732.1823
MEM 1172.792969 1683205732.2973
MEM 1172.792969 1683205732.4093
MEM 1172.792969 1683205732.5209
MEM 1206.562500 1683205732.6326
MEM 1248.910156 1683205732.7446
MEM 1291.601562 1683205732.8566
MEM 1333.789062 1683205732.9668
MEM 1376.003906 1683205733.0788
MEM 1417.019531 1683205733.1878
MEM 1417.019531 1683205733.2998
MEM 1417.019531 1683205733.4118
MEM 1417.019531 1683205733.5268
MEM 1424.128906 1683205733.6388
MEM 1466.855469 1683205733.7472
MEM 1508.843750 1683205733.8572
MEM 1547.042969 1683205733.9672
MEM 1589.011719 1683205734.0772
MEM 1632.042969 1683205734.1892
MEM 1674.824219 1683205734.3012
MEM 1716.503906 1683205734.4162
MEM 1722.628906 1683205734.5252
MEM 1722.628906 1683205734.6362
MEM 1722.628906 1683205734.7482
MEM 1722.628906 1683205734.8599
MEM 1722.628906 1683205734.9719
MEM 1764.921875 1683205735.0839
MEM 1807.660156 1683205735.1929
MEM 1850.343750 1683205735.3079
MEM 1892.378906 1683205735.4199
MEM 1934.660156 1683205735.5299
MEM 1977.359375 1683205735.6419
MEM 2019.933594 1683205735.7539
MEM 2062.984375 1683205735.8659
MEM 2104.890625 1683205735.9779
MEM 2104.890625 1683205736.0895
MEM 2104.890625 1683205736.2015
MEM 2104.890625 1683205736.3135
MEM 2104.890625 1683205736.4255
MEM 2104.890625 1683205736.5375
MEM 2104.890625 1683205736.6475
MEM 2146.070312 1683205736.7581
MEM 2188.183594 1683205736.8721
MEM 2231.164062 1683205736.9851
MEM 2273.449219 1683205737.0921
MEM 2314.605469 1683205737.2021
MEM 2357.750000 1683205737.3171
MEM 2400.390625 1683205737.4291
MEM 2443.109375 1683205737.5411
MEM 2485.015625 1683205737.6511
MEM 2527.843750 1683205737.7631
MEM 2569.972656 1683205737.8751
MEM 2582.449219 1683205737.9866
MEM 2582.449219 1683205738.0986
MEM 2582.449219 1683205738.2106
MEM 2582.449219 1683205738.3226
MEM 2582.449219 1683205738.4316
MEM 2582.449219 1683205738.5466
MEM 2582.449219 1683205738.6586
MEM 2587.664062 1683205738.7697
MEM 2630.042969 1683205738.8797
MEM 2673.003906 1683205738.9926
MEM 2715.738281 1683205739.1046
MEM 2758.457031 1683205739.2136
MEM 2801.160156 1683205739.3256
MEM 2844.035156 1683205739.4376
MEM 2885.925781 1683205739.5496
MEM 2928.542969 1683205739.6616
MEM 2971.441406 1683205739.7736
MEM 3014.125000 1683205739.8856
MEM 3056.019531 1683205739.9956
MEM 3098.781250 1683205740.1076
MEM 3141.710938 1683205740.2196
MEM 3179.582031 1683205740.3356
MEM 3179.582031 1683205740.4436
MEM 3179.582031 1683205740.5586
MEM 3179.582031 1683205740.6706
MEM 3179.582031 1683205740.7826
MEM 3179.582031 1683205740.8946
MEM 3179.582031 1683205741.0066
MEM 3179.582031 1683205741.1186
MEM 3179.582031 1683205741.2276
MEM 3179.582031 1683205741.3396
MEM 3203.914062 1683205741.4511
MEM 3246.535156 1683205741.5631
MEM 3289.476562 1683205741.6781
MEM 3332.226562 1683205741.7901
MEM 3375.062500 1683205741.9011
MEM 3417.910156 1683205742.0111
MEM 3460.449219 1683205742.1255
MEM 3502.199219 1683205742.2325
MEM 3544.968750 1683205742.3445
MEM 3586.855469 1683205742.4565
MEM 3628.945312 1683205742.5669
MEM 3671.410156 1683205742.6779
MEM 3713.660156 1683205742.7909
MEM 3755.566406 1683205742.9009
MEM 3798.441406 1683205743.0129
MEM 3841.136719 1683205743.1249
MEM 3884.238281 1683205743.2339
