CMDLINE C:\Users\boys4\AppData\Local\Programs\Python\Python310\python.exe main.py
MEM 1.480469 1683207041.8585
MEM 30.476562 1683207041.9650
MEM 47.968750 1683207042.0727
MEM 68.394531 1683207042.1817
MEM 84.257812 1683207042.2922
MEM 94.792969 1683207042.4006
MEM 108.328125 1683207042.5078
MEM 119.632812 1683207042.6183
MEM 138.589844 1683207042.7269
MEM 157.406250 1683207042.8327
MEM 160.210938 1683207042.9425
MEM 165.863281 1683207043.0528
MEM 182.648438 1683207043.1638
MEM 182.648438 1683207043.2744
MEM 182.648438 1683207043.3814
MEM 182.648438 1683207043.4922
MEM 182.648438 1683207043.6023
MEM 182.648438 1683207043.7103
MEM 182.648438 1683207043.8243
MEM 182.648438 1683207043.9323
MEM 182.648438 1683207044.0425
MEM 182.691406 1683207044.1501
MEM 182.691406 1683207044.2561
MEM 182.691406 1683207044.3655
MEM 182.691406 1683207044.4775
MEM 182.691406 1683207044.5863
MEM 182.691406 1683207044.6943
MEM 182.691406 1683207044.8045
MEM 182.691406 1683207044.9134
MEM 182.691406 1683207045.0213
MEM 182.691406 1683207045.1313
MEM 182.691406 1683207045.2384
MEM 182.691406 1683207045.3486
MEM 182.691406 1683207045.4573
MEM 182.691406 1683207045.5652
MEM 182.691406 1683207045.6792
MEM 182.691406 1683207045.7963
MEM 182.691406 1683207045.9038
MEM 182.691406 1683207046.0132
MEM 182.441406 1683207046.1220
MEM 182.441406 1683207046.2303
MEM 182.441406 1683207046.3370
MEM 182.441406 1683207046.4442
MEM 182.441406 1683207046.5542
MEM 182.441406 1683207046.6643
MEM 182.460938 1683207046.7741
MEM 182.460938 1683207046.8842
MEM 182.464844 1683207046.9953
MEM 182.464844 1683207047.1053
MEM 182.464844 1683207047.2141
MEM 182.464844 1683207047.3221
MEM 182.882812 1683207047.4325
MEM 182.890625 1683207047.5443
MEM 182.894531 1683207047.6523
MEM 190.113281 1683207047.7587
MEM 203.253906 1683207047.8680
MEM 213.761719 1683207047.9759
MEM 213.800781 1683207048.0833
MEM 213.812500 1683207048.1901
MEM 213.816406 1683207048.3003
MEM 214.062500 1683207048.4098
MEM 214.062500 1683207048.5181
MEM 214.062500 1683207048.6258
MEM 214.062500 1683207048.7320
MEM 214.011719 1683207048.8399
MEM 214.011719 1683207048.9473
MEM 214.011719 1683207049.0536
MEM 214.164062 1683207049.1629
MEM 214.230469 1683207049.2703
MEM 215.160156 1683207049.3778
MEM 215.160156 1683207049.4893
MEM 215.160156 1683207049.5974
MEM 215.160156 1683207049.7092
MEM 215.160156 1683207049.8166
MEM 215.160156 1683207049.9257
MEM 215.160156 1683207050.0323
MEM 215.160156 1683207050.1443
MEM 215.160156 1683207050.2543
MEM 215.160156 1683207050.3631
MEM 215.164062 1683207050.4704
MEM 215.230469 1683207050.5777
MEM 215.230469 1683207050.6863
MEM 215.121094 1683207050.7952
MEM 215.121094 1683207050.9028
MEM 215.121094 1683207051.0101
MEM 214.820312 1683207051.1195
MEM 215.261719 1683207051.2273
MEM 215.261719 1683207051.3361
MEM 215.261719 1683207051.4463
MEM 215.261719 1683207051.5553
MEM 215.261719 1683207051.6664
MEM 215.261719 1683207051.7735
MEM 215.261719 1683207051.8825
MEM 215.261719 1683207051.9916
MEM 215.261719 1683207052.0989
MEM 215.261719 1683207052.2072
MEM 214.972656 1683207052.3146
MEM 214.972656 1683207052.4234
MEM 214.855469 1683207052.5349
MEM 215.488281 1683207052.6394
MEM 215.507812 1683207052.7523
MEM 215.507812 1683207052.8609
MEM 215.507812 1683207052.9678
MEM 215.507812 1683207053.0778
MEM 215.507812 1683207053.1865
MEM 215.507812 1683207053.2944
MEM 215.507812 1683207053.4036
MEM 215.699219 1683207053.5125
MEM 215.699219 1683207053.6228
MEM 215.699219 1683207053.7319
MEM 214.699219 1683207053.8447
MEM 214.699219 1683207053.9663
MEM 214.691406 1683207054.0750
MEM 214.691406 1683207054.1845
MEM 214.691406 1683207054.2928
MEM 214.691406 1683207054.4006
MEM 214.691406 1683207054.5105
MEM 214.691406 1683207054.6174
MEM 214.691406 1683207054.7263
MEM 214.742188 1683207054.8354
MEM 214.742188 1683207054.9427
MEM 214.742188 1683207055.0503
MEM 214.742188 1683207055.1602
MEM 214.742188 1683207055.2675
MEM 214.742188 1683207055.3771
MEM 214.742188 1683207055.4848
MEM 299.191406 1683207055.5956
MEM 834.925781 1683207055.7046
MEM 834.925781 1683207055.8149
MEM 897.222656 1683207055.9249
MEM 975.722656 1683207056.0339
