CMDLINE C:\Users\boys4\AppData\Local\Programs\Python\Python310\python.exe main.py
MEM 1.484375 1683204662.6208
MEM 35.824219 1683204662.7368
MEM 76.132812 1683204662.8461
MEM 109.898438 1683204662.9554
MEM 138.679688 1683204663.0625
MEM 160.421875 1683204663.1735
MEM 166.082031 1683204663.2838
MEM 182.753906 1683204663.3943
MEM 182.851562 1683204663.5021
MEM 182.851562 1683204663.6099
MEM 182.871094 1683204663.7175
MEM 182.871094 1683204663.8273
MEM 182.871094 1683204663.9424
MEM 182.871094 1683204664.0594
MEM 183.292969 1683204664.1709
MEM 183.300781 1683204664.2799
MEM 183.343750 1683204664.3890
MEM 183.347656 1683204664.4988
MEM 183.355469 1683204664.6060
MEM 183.355469 1683204664.7136
MEM 183.359375 1683204664.8240
MEM 196.195312 1683204664.9300
MEM 214.433594 1683204665.0419
MEM 214.945312 1683204665.1523
MEM 215.039062 1683204665.2586
MEM 215.039062 1683204665.3687
MEM 215.039062 1683204665.4760
MEM 215.042969 1683204665.5839
MEM 215.042969 1683204665.6961
MEM 215.167969 1683204665.8041
MEM 215.269531 1683204665.9104
MEM 216.292969 1683204666.0177
MEM 216.292969 1683204666.1258
MEM 216.292969 1683204666.2375
MEM 216.292969 1683204666.3464
MEM 216.292969 1683204666.4555
MEM 216.292969 1683204666.5639
MEM 216.292969 1683204666.6734
MEM 216.292969 1683204666.7803
MEM 216.292969 1683204666.8894
MEM 216.304688 1683204666.9984
MEM 216.304688 1683204667.1065
MEM 216.566406 1683204667.2140
MEM 216.593750 1683204667.3213
MEM 216.609375 1683204667.4325
MEM 216.609375 1683204667.5422
MEM 216.609375 1683204667.6505
MEM 216.609375 1683204667.7579
MEM 216.324219 1683204667.8673
MEM 216.324219 1683204667.9793
MEM 216.324219 1683204668.0878
MEM 216.324219 1683204668.1969
MEM 216.324219 1683204668.3058
MEM 216.320312 1683204668.4131
MEM 216.320312 1683204668.5215
MEM 216.355469 1683204668.6305
MEM 216.355469 1683204668.7392
MEM 216.355469 1683204668.8480
MEM 216.359375 1683204668.9569
MEM 216.363281 1683204669.0651
MEM 216.367188 1683204669.1744
MEM 216.320312 1683204669.2826
MEM 216.320312 1683204669.3944
MEM 216.320312 1683204669.5040
MEM 216.328125 1683204669.6144
MEM 216.328125 1683204669.7226
MEM 216.328125 1683204669.8293
MEM 216.328125 1683204669.9380
MEM 216.328125 1683204670.0471
MEM 216.328125 1683204670.1670
MEM 216.328125 1683204670.2805
MEM 216.328125 1683204670.3899
MEM 216.328125 1683204670.4980
MEM 216.328125 1683204670.6078
MEM 216.328125 1683204670.7153
MEM 216.328125 1683204670.8246
MEM 215.328125 1683204670.9339
MEM 215.328125 1683204671.0414
MEM 215.335938 1683204671.1511
MEM 215.347656 1683204671.2594
MEM 215.347656 1683204671.3680
MEM 215.347656 1683204671.4756
MEM 215.347656 1683204671.5844
MEM 215.347656 1683204671.6926
MEM 215.347656 1683204671.8011
MEM 215.347656 1683204671.9102
MEM 215.347656 1683204672.0188
MEM 215.347656 1683204672.1264
MEM 215.421875 1683204672.2345
MEM 215.421875 1683204672.3427
MEM 215.421875 1683204672.4502
MEM 215.421875 1683204672.5580
MEM 215.421875 1683204672.6656
MEM 215.421875 1683204672.7737
MEM 215.421875 1683204672.8814
MEM 215.421875 1683204672.9902
MEM 215.421875 1683204673.0980
MEM 215.421875 1683204673.2053
MEM 215.472656 1683204673.3137
MEM 215.480469 1683204673.4213
MEM 215.480469 1683204673.5316
MEM 215.480469 1683204673.6399
MEM 215.480469 1683204673.7486
MEM 215.480469 1683204673.8561
MEM 215.480469 1683204673.9654
MEM 215.480469 1683204674.0734
MEM 215.480469 1683204674.1828
MEM 215.484375 1683204674.2905
MEM 215.484375 1683204674.3978
MEM 215.492188 1683204674.5068
MEM 215.492188 1683204674.6148
MEM 215.632812 1683204674.7234
MEM 216.054688 1683204674.8344
MEM 216.265625 1683204674.9432
MEM 216.335938 1683204675.0505
MEM 216.500000 1683204675.1566
MEM 216.500000 1683204675.2670
MEM 216.500000 1683204675.3759
MEM 216.515625 1683204675.4969
MEM 216.515625 1683204675.6054
MEM 216.542969 1683204675.7148
MEM 216.542969 1683204675.8234
MEM 216.542969 1683204675.9323
MEM 216.542969 1683204676.0408
MEM 216.542969 1683204676.1499
MEM 216.542969 1683204676.2567
MEM 216.542969 1683204676.3657
MEM 216.542969 1683204676.4757
MEM 216.730469 1683204676.5847
MEM 216.730469 1683204676.6920
MEM 216.730469 1683204676.7991
MEM 216.730469 1683204676.9082
MEM 216.730469 1683204677.0179
MEM 216.730469 1683204677.1275
MEM 216.730469 1683204677.2369
MEM 216.730469 1683204677.3447
MEM 216.730469 1683204677.4541
MEM 216.730469 1683204677.5629
MEM 216.718750 1683204677.6715
MEM 218.929688 1683204677.7812
MEM 228.449219 1683204677.8892
MEM 244.632812 1683204678.0023
MEM 291.496094 1683204678.1093
MEM 325.898438 1683204678.2193
MEM 336.992188 1683204678.3283
MEM 289.183594 1683204678.4393
MEM 300.218750 1683204678.5538
MEM 361.621094 1683204678.6658
MEM 311.222656 1683204678.7748
MEM 360.375000 1683204678.8882
MEM 301.433594 1683204678.9972
MEM 327.359375 1683204679.1122
MEM 344.585938 1683204679.2212
MEM 316.675781 1683204679.3362
MEM 361.617188 1683204679.4482
MEM 306.390625 1683204679.5572
MEM 356.019531 1683204679.6682
MEM 318.171875 1683204679.7752
MEM 329.644531 1683204679.8872
MEM 365.753906 1683204679.9982
MEM 313.628906 1683204680.1058
MEM 360.839844 1683204680.2178
MEM 320.562500 1683204680.3278
MEM 337.218750 1683204680.4398
MEM 366.691406 1683204680.5518
MEM 314.945312 1683204680.6618
MEM 360.980469 1683204680.7708
MEM 319.199219 1683204680.8802
MEM 331.421875 1683204680.9932
MEM 366.667969 1683204681.1032
MEM 317.457031 1683204681.2152
MEM 363.433594 1683204681.3282
MEM 321.898438 1683204681.4372
MEM 346.101562 1683204681.5502
MEM 333.144531 1683204681.6602
MEM 324.484375 1683204681.7702
MEM 367.464844 1683204681.8822
MEM 322.488281 1683204681.9871
MEM 368.480469 1683204682.0991
MEM 324.636719 1683204682.2092
MEM 334.164062 1683204682.3232
MEM 369.066406 1683204682.4302
MEM 324.867188 1683204682.5412
MEM 371.152344 1683204682.6542
MEM 327.445312 1683204682.7591
MEM 370.664062 1683204682.8731
MEM 326.812500 1683204682.9791
MEM 333.863281 1683204683.0911
MEM 372.117188 1683204683.2011
MEM 324.578125 1683204683.3131
MEM 365.738281 1683204683.4251
MEM 327.000000 1683204683.5371
MEM 358.335938 1683204683.6511
MEM 329.117188 1683204683.7591
MEM 333.210938 1683204683.8721
MEM 368.207031 1683204683.9831
MEM 327.257812 1683204684.0931
MEM 366.359375 1683204684.2031
MEM 325.742188 1683204684.3151
MEM 333.335938 1683204684.4271
MEM 367.863281 1683204684.5391
MEM 329.449219 1683204684.6511
MEM 375.085938 1683204684.7631
MEM 330.460938 1683204684.8751
MEM 360.332031 1683204684.9854
MEM 333.492188 1683204685.0954
MEM 345.492188 1683204685.2074
MEM 379.164062 1683204685.3224
MEM 334.503906 1683204685.4304
MEM 371.207031 1683204685.5434
MEM 337.093750 1683204685.6539
MEM 355.132812 1683204685.7649
MEM 380.558594 1683204685.8729
MEM 339.289062 1683204685.9839
MEM 371.453125 1683204686.0949
MEM 336.582031 1683204686.2069
MEM 380.128906 1683204686.3211
MEM 336.871094 1683204686.4291
MEM 344.945312 1683204686.5431
MEM 372.300781 1683204686.6511
MEM 339.253906 1683204686.7631
MEM 382.378906 1683204686.8781
MEM 339.203125 1683204686.9871
MEM 373.824219 1683204687.0991
MEM 341.140625 1683204687.2051
MEM 343.312500 1683204687.3161
MEM 385.503906 1683204687.4271
MEM 342.609375 1683204687.5371
MEM 365.507812 1683204687.6471
MEM 343.175781 1683204687.7591
MEM 350.566406 1683204687.8741
MEM 385.785156 1683204687.9862
MEM 344.175781 1683204688.0932
MEM 373.097656 1683204688.2031
MEM 344.011719 1683204688.3151
MEM 354.929688 1683204688.4281
MEM 386.078125 1683204688.5364
MEM 347.210938 1683204688.6464
MEM 379.378906 1683204688.7564
MEM 348.539062 1683204688.8681
MEM 395.675781 1683204688.9825
MEM 350.656250 1683204689.0905
MEM 357.734375 1683204689.2025
MEM 378.625000 1683204689.3165
MEM 351.835938 1683204689.4241
MEM 392.773438 1683204689.5371
MEM 352.832031 1683204689.6441
MEM 368.171875 1683204689.7541
MEM 355.246094 1683204689.8661
MEM 357.695312 1683204689.9812
MEM 395.984375 1683204690.0901
MEM 357.335938 1683204690.1994
MEM 377.828125 1683204690.3084
MEM 358.105469 1683204690.4174
MEM 364.796875 1683204690.5295
MEM 396.785156 1683204690.6405
MEM 357.871094 1683204690.7495
MEM 379.230469 1683204690.8645
MEM 355.558594 1683204690.9735
MEM 390.113281 1683204691.0885
MEM 353.476562 1683204691.1965
MEM 356.226562 1683204691.3087
MEM 377.398438 1683204691.4185
MEM 352.542969 1683204691.5279
MEM 363.714844 1683204691.6399
MEM 393.398438 1683204691.7519
MEM 353.664062 1683204691.8639
MEM 378.734375 1683204691.9709
MEM 354.625000 1683204692.0779
MEM 383.664062 1683204692.1899
MEM 355.972656 1683204692.3019
MEM 367.289062 1683204692.4150
MEM 380.925781 1683204692.5260
MEM 357.644531 1683204692.6380
MEM 393.011719 1683204692.7488
MEM 357.722656 1683204692.8598
MEM 363.472656 1683204692.9708
MEM 381.355469 1683204693.0798
MEM 358.566406 1683204693.1894
MEM 392.316406 1683204693.3004
MEM 357.316406 1683204693.4114
MEM 380.156250 1683204693.5264
MEM 355.691406 1683204693.6354
MEM 363.664062 1683204693.7450
MEM 392.480469 1683204693.8570
MEM 356.847656 1683204693.9670
MEM 380.230469 1683204694.0760
MEM 382.144531 1683204694.1851
MEM 392.027344 1683204694.3001
MEM 363.941406 1683204694.4091
MEM 362.585938 1683204694.5197
MEM 386.871094 1683204694.6287
MEM 363.464844 1683204694.7367
MEM 397.937500 1683204694.8497
MEM 363.152344 1683204694.9560
MEM 370.457031 1683204695.0670
MEM 388.031250 1683204695.1820
MEM 363.085938 1683204695.2930
MEM 395.164062 1683204695.4060
MEM 362.316406 1683204695.5150
MEM 381.289062 1683204695.6300
MEM 363.656250 1683204695.7390
MEM 365.800781 1683204695.8487
MEM 396.890625 1683204695.9633
MEM 364.128906 1683204696.0723
MEM 391.296875 1683204696.1873
MEM 361.730469 1683204696.2963
MEM 375.125000 1683204696.4106
MEM 394.621094 1683204696.5186
MEM 362.371094 1683204696.6296
MEM 385.390625 1683204696.7416
MEM 363.203125 1683204696.8536
MEM 387.542969 1683204696.9676
MEM 366.496094 1683204697.0776
MEM 368.949219 1683204697.1876
MEM 389.812500 1683204697.3026
MEM 367.863281 1683204697.4076
MEM 397.054688 1683204697.5176
MEM 371.390625 1683204697.6296
MEM 378.851562 1683204697.7376
MEM 393.597656 1683204697.8476
MEM 371.816406 1683204697.9576
MEM 396.683594 1683204698.0676
MEM 372.132812 1683204698.1736
MEM 385.675781 1683204698.2886
MEM 395.148438 1683204698.3956
MEM 372.937500 1683204698.5066
MEM 398.503906 1683204698.6166
MEM 375.417969 1683204698.7241
MEM 380.261719 1683204698.8391
MEM 395.562500 1683204698.9481
MEM 373.050781 1683204699.0611
MEM 395.914062 1683204699.1746
MEM 373.906250 1683204699.2838
MEM 400.964844 1683204699.3958
MEM 375.828125 1683204699.5078
MEM 385.144531 1683204699.6228
MEM 400.054688 1683204699.7318
MEM 378.023438 1683204699.8432
MEM 398.777344 1683204699.9579
MEM 377.921875 1683204700.0689
MEM 392.003906 1683204700.1799
MEM 380.183594 1683204700.2869
MEM 379.902344 1683204700.4019
MEM 399.148438 1683204700.5139
MEM 377.101562 1683204700.6229
MEM 402.835938 1683204700.7329
MEM 374.863281 1683204700.8412
MEM 381.152344 1683204700.9530
MEM 395.917969 1683204701.0630
MEM 373.652344 1683204701.1750
MEM 395.265625 1683204701.2880
MEM 375.484375 1683204701.3970
MEM 392.781250 1683204701.5115
MEM 374.957031 1683204701.6205
MEM 376.746094 1683204701.7305
MEM 394.019531 1683204701.8414
MEM 377.320312 1683204701.9514
MEM 390.730469 1683204702.0634
MEM 399.878906 1683204702.1764
MEM 378.398438 1683204702.2854
MEM 396.882812 1683204702.4004
MEM 378.832031 1683204702.5074
MEM 405.636719 1683204702.6204
MEM 378.667969 1683204702.7274
MEM 381.472656 1683204702.8354
MEM 396.406250 1683204702.9454
MEM 376.578125 1683204703.0554
MEM 398.570312 1683204703.1654
MEM 377.675781 1683204703.2754
MEM 389.382812 1683204703.3885
MEM 377.992188 1683204703.4985
MEM 375.367188 1683204703.6095
MEM 400.101562 1683204703.7215
MEM 379.796875 1683204703.8335
MEM 402.023438 1683204703.9465
MEM 378.960938 1683204704.0555
MEM 382.535156 1683204704.1675
MEM 401.113281 1683204704.2795
MEM 381.085938 1683204704.3915
MEM 398.617188 1683204704.5065
MEM 380.996094 1683204704.6155
MEM 390.992188 1683204704.7275
MEM 389.597656 1683204704.8375
MEM 385.472656 1683204704.9495
MEM 400.101562 1683204705.0615
MEM 383.175781 1683204705.1696
MEM 400.511719 1683204705.2816
MEM 402.007812 1683204705.3926
MEM 409.453125 1683204705.5036
MEM 409.406250 1683204705.6116
MEM 389.589844 1683204705.7216
MEM 405.710938 1683204705.8326
MEM 389.082031 1683204705.9436
MEM 399.894531 1683204706.0564
MEM 401.613281 1683204706.1634
MEM 389.390625 1683204706.2754
MEM 406.445312 1683204706.3884
MEM 390.183594 1683204706.5024
MEM 411.503906 1683204706.6145
MEM 389.246094 1683204706.7234
MEM 399.601562 1683204706.8354
MEM 406.722656 1683204706.9484
MEM 388.914062 1683204707.0574
MEM 406.914062 1683204707.1694
MEM 389.132812 1683204707.2794
MEM 398.746094 1683204707.3924
MEM 406.656250 1683204707.5014
MEM 393.046875 1683204707.6134
MEM 407.050781 1683204707.7234
MEM 389.429688 1683204707.8334
MEM 405.281250 1683204707.9437
MEM 389.699219 1683204708.0557
MEM 391.703125 1683204708.1667
MEM 406.457031 1683204708.2797
MEM 389.148438 1683204708.3897
MEM 404.906250 1683204708.5047
MEM 388.531250 1683204708.6117
MEM 398.730469 1683204708.7237
MEM 403.136719 1683204708.8337
MEM 387.464844 1683204708.9487
MEM 405.085938 1683204709.0576
MEM 389.039062 1683204709.1696
MEM 406.796875 1683204709.2816
MEM 389.832031 1683204709.3926
MEM 391.773438 1683204709.5036
MEM 406.636719 1683204709.6156
MEM 390.140625 1683204709.7276
MEM 404.843750 1683204709.8426
MEM 388.996094 1683204709.9496
MEM 394.910156 1683204710.0637
MEM 405.027344 1683204710.1747
MEM 387.199219 1683204710.2857
MEM 403.468750 1683204710.3937
MEM 404.492188 1683204710.5037
MEM 405.765625 1683204710.6157
MEM 387.300781 1683204710.7277
MEM 390.601562 1683204710.8428
MEM 405.035156 1683204710.9541
MEM 387.847656 1683204711.0622
MEM 404.984375 1683204711.1752
MEM 388.566406 1683204711.2852
MEM 399.093750 1683204711.3972
MEM 406.281250 1683204711.5092
MEM 385.652344 1683204711.6242
MEM 405.746094 1683204711.7332
MEM 389.570312 1683204711.8452
MEM 409.179688 1683204711.9597
MEM 388.351562 1683204712.0681
MEM 397.125000 1683204712.1801
MEM 405.582031 1683204712.2911
MEM 387.960938 1683204712.4021
MEM 404.785156 1683204712.5141
MEM 388.339844 1683204712.6261
MEM 402.148438 1683204712.7381
MEM 388.718750 1683204712.8481
MEM 390.589844 1683204712.9621
MEM 405.640625 1683204713.0721
MEM 389.648438 1683204713.1841
MEM 413.304688 1683204713.2961
MEM 390.527344 1683204713.4081
MEM 397.253906 1683204713.5201
MEM 406.167969 1683204713.6321
MEM 388.886719 1683204713.7421
MEM 406.656250 1683204713.8561
MEM 390.367188 1683204713.9661
MEM 411.554688 1683204714.0821
MEM 389.652344 1683204714.1901
MEM 400.363281 1683204714.3021
MEM 406.824219 1683204714.4141
MEM 389.085938 1683204714.5291
MEM 406.382812 1683204714.6412
MEM 389.832031 1683204714.7502
MEM 396.847656 1683204714.8651
MEM 407.468750 1683204714.9741
MEM 388.917969 1683204715.0831
MEM 404.878906 1683204715.1967
MEM 388.707031 1683204715.3052
MEM 406.937500 1683204715.4202
MEM 402.625000 1683204715.5292
MEM 388.042969 1683204715.6422
MEM 406.335938 1683204715.7502
MEM 390.175781 1683204715.8585
MEM 402.359375 1683204715.9705
MEM 407.503906 1683204716.0820
MEM 390.121094 1683204716.1940
MEM 405.210938 1683204716.3040
MEM 389.535156 1683204716.4160
MEM 408.863281 1683204716.5310
MEM 389.902344 1683204716.6390
MEM 391.941406 1683204716.7480
