CMDLINE C:\Users\boys4\AppData\Local\Programs\Python\Python310\python.exe ns3Visualizer.py
MEM 1.484375 1683207435.4624
MEM 28.171875 1683207435.5763
MEM 31.878906 1683207435.6813
MEM 31.898438 1683207435.7910
MEM 31.898438 1683207435.9012
MEM 31.898438 1683207436.0107
MEM 31.898438 1683207436.1203
MEM 31.898438 1683207436.2277
MEM 31.898438 1683207436.3404
MEM 31.925781 1683207436.4482
MEM 31.937500 1683207436.5564
MEM 31.941406 1683207436.6654
MEM 31.941406 1683207436.7722
MEM 31.945312 1683207436.8817
MEM 31.945312 1683207436.9896
MEM 31.964844 1683207437.0966
MEM 42.812500 1683207437.2021
MEM 66.105469 1683207437.3138
MEM 66.246094 1683207437.4234
MEM 66.746094 1683207437.5324
MEM 66.746094 1683207437.6430
MEM 66.746094 1683207437.7506
MEM 66.746094 1683207437.8614
MEM 66.710938 1683207437.9663
MEM 66.710938 1683207438.0773
MEM 66.753906 1683207438.1864
MEM 66.753906 1683207438.2949
MEM 66.753906 1683207438.4034
MEM 66.753906 1683207438.5133
MEM 66.753906 1683207438.6197
MEM 66.753906 1683207438.7279
MEM 66.753906 1683207438.8370
MEM 66.753906 1683207438.9576
MEM 66.449219 1683207439.0659
MEM 66.449219 1683207439.1738
MEM 66.449219 1683207439.2814
MEM 66.652344 1683207439.3918
MEM 67.316406 1683207439.4994
MEM 66.480469 1683207439.6062
MEM 66.480469 1683207439.7166
MEM 83.386719 1683207439.8313
MEM 114.832031 1683207439.9413
MEM 140.843750 1683207440.0478
MEM 166.417969 1683207440.1608
MEM 191.878906 1683207440.2708
MEM 221.214844 1683207440.3798
MEM 241.328125 1683207440.4908
MEM 263.664062 1683207440.6028
MEM 297.964844 1683207440.7148
MEM 313.804688 1683207440.8268
MEM 348.937500 1683207440.9378
MEM 377.140625 1683207441.0498
MEM 388.152344 1683207441.1573
MEM 429.507812 1683207441.2723
MEM 456.441406 1683207441.3813
MEM 461.148438 1683207441.4928
MEM 501.652344 1683207441.6034
MEM 543.105469 1683207441.7174
MEM 555.597656 1683207441.8284
MEM 561.859375 1683207441.9394
MEM 603.027344 1683207442.0484
MEM 642.960938 1683207442.1604
MEM 679.347656 1683207442.2674
MEM 679.347656 1683207442.3794
MEM 683.890625 1683207442.4924
MEM 724.546875 1683207442.6024
MEM 765.179688 1683207442.7117
MEM 806.437500 1683207442.8237
MEM 834.140625 1683207442.9347
MEM 834.140625 1683207443.0467
MEM 834.140625 1683207443.1567
MEM 870.648438 1683207443.2677
MEM 911.421875 1683207443.3757
MEM 952.453125 1683207443.4897
MEM 991.824219 1683207443.5970
MEM 1027.546875 1683207443.7050
MEM 1027.546875 1683207443.8170
MEM 1027.546875 1683207443.9320
MEM 1031.605469 1683207444.0441
MEM 1073.074219 1683207444.1545
MEM 1114.320312 1683207444.2645
MEM 1154.074219 1683207444.3734
MEM 1195.531250 1683207444.4846
MEM 1235.824219 1683207444.5950
MEM 1269.300781 1683207444.7041
MEM 1269.300781 1683207444.8161
MEM 1269.300781 1683207444.9251
MEM 1269.300781 1683207445.0401
MEM 1279.410156 1683207445.1522
