CMDLINE C:\Users\boys4\AppData\Local\Programs\Python\Python310\python.exe main.py
MEM 1.996094 1683296960.8752
MEM 23.808594 1683296960.9795
MEM 31.761719 1683296961.0838
MEM 38.230469 1683296961.1889
MEM 40.667969 1683296961.2940
MEM 46.882812 1683296961.3997
MEM 47.722656 1683296961.5049
MEM 49.007812 1683296961.6107
MEM 57.738281 1683296961.7158
MEM 63.769531 1683296961.8203
MEM 69.472656 1683296961.9254
MEM 76.062500 1683296962.0305
MEM 78.667969 1683296962.1360
MEM 81.898438 1683296962.2401
MEM 83.011719 1683296962.3453
MEM 84.308594 1683296962.4494
MEM 85.324219 1683296962.5545
MEM 86.214844 1683296962.6596
MEM 87.593750 1683296962.7648
MEM 88.582031 1683296962.8699
MEM 89.937500 1683296962.9750
MEM 90.296875 1683296963.0801
MEM 90.933594 1683296963.1852
MEM 91.566406 1683296963.2904
MEM 92.308594 1683296963.3955
MEM 93.574219 1683296963.4996
MEM 94.910156 1683296963.6048
MEM 96.777344 1683296963.7099
MEM 98.839844 1683296963.8150
MEM 101.105469 1683296963.9201
MEM 103.546875 1683296964.0243
MEM 105.207031 1683296964.1304
MEM 107.464844 1683296964.2345
MEM 112.007812 1683296964.3387
MEM 123.550781 1683296964.4429
MEM 139.929688 1683296964.5480
MEM 139.929688 1683296964.6561
MEM 139.929688 1683296964.7610
MEM 139.929688 1683296964.8670
MEM 139.929688 1683296964.9717
MEM 139.933594 1683296965.0771
MEM 139.933594 1683296965.1826
MEM 139.933594 1683296965.2878
MEM 150.738281 1683296965.3935
MEM 161.128906 1683296965.4982
MEM 166.753906 1683296965.6024
MEM 166.789062 1683296965.7076
MEM 180.011719 1683296965.8127
MEM 183.562500 1683296965.9178
MEM 183.562500 1683296966.0218
MEM 183.562500 1683296966.1260
MEM 183.562500 1683296966.2322
MEM 183.593750 1683296966.3364
MEM 183.625000 1683296966.4422
MEM 183.625000 1683296966.5475
MEM 183.625000 1683296966.6531
MEM 183.625000 1683296966.7582
MEM 183.652344 1683296966.8631
MEM 184.058594 1683296966.9688
MEM 184.066406 1683296967.0739
MEM 184.066406 1683296967.1800
MEM 184.066406 1683296967.2842
MEM 184.066406 1683296967.3894
MEM 184.066406 1683296967.4935
MEM 184.074219 1683296967.5996
MEM 184.074219 1683296967.7043
MEM 189.839844 1683296967.8101
MEM 201.964844 1683296967.9156
MEM 214.980469 1683296968.0205
MEM 214.980469 1683296968.1254
MEM 215.218750 1683296968.2307
MEM 215.230469 1683296968.3362
MEM 215.476562 1683296968.4414
MEM 215.535156 1683296968.5465
MEM 215.535156 1683296968.6516
MEM 215.542969 1683296968.7572
MEM 215.542969 1683296968.8624
MEM 215.492188 1683296968.9675
MEM 215.492188 1683296969.0731
MEM 215.496094 1683296969.1783
MEM 215.464844 1683296969.2857
MEM 216.062500 1683296969.3906
MEM 216.121094 1683296969.4962
MEM 216.121094 1683296969.6014
MEM 216.121094 1683296969.7065
MEM 216.121094 1683296969.8106
MEM 216.121094 1683296969.9156
MEM 216.214844 1683296970.0213
MEM 216.214844 1683296970.1364
MEM 216.214844 1683296970.2409
MEM 216.214844 1683296970.3451
MEM 216.214844 1683296970.4531
MEM 216.214844 1683296970.5602
MEM 215.835938 1683296970.6654
MEM 215.835938 1683296970.7704
MEM 215.835938 1683296970.8755
MEM 215.843750 1683296970.9811
MEM 215.847656 1683296971.0862
MEM 215.855469 1683296971.1943
MEM 215.855469 1683296971.3116
MEM 215.855469 1683296971.4216
MEM 215.937500 1683296971.5331
MEM 216.652344 1683296971.6383
MEM 217.175781 1683296971.7434
MEM 217.128906 1683296971.8485
MEM 217.128906 1683296971.9536
MEM 217.128906 1683296972.0589
MEM 217.128906 1683296972.1640
MEM 217.128906 1683296972.2692
MEM 217.140625 1683296972.3745
MEM 217.140625 1683296972.4797
MEM 217.164062 1683296972.5838
MEM 217.164062 1683296972.6889
MEM 217.164062 1683296972.7940
MEM 217.164062 1683296972.8992
MEM 217.164062 1683296973.0043
MEM 217.355469 1683296973.1095
MEM 217.355469 1683296973.2151
MEM 217.285156 1683296973.3203
MEM 217.285156 1683296973.4258
MEM 217.285156 1683296973.5310
MEM 216.367188 1683296973.6364
MEM 216.367188 1683296973.7406
MEM 216.367188 1683296973.8463
MEM 216.367188 1683296973.9520
MEM 216.367188 1683296974.0577
MEM 216.367188 1683296974.1629
MEM 216.367188 1683296974.2686
MEM 216.367188 1683296974.3744
MEM 216.367188 1683296974.4791
