CMDLINE C:\Users\boys4\AppData\Local\Programs\Python\Python310\python.exe main.py
MEM 2.000000 1683286426.6604
MEM 24.460938 1683286426.7651
MEM 31.750000 1683286426.8692
MEM 39.230469 1683286426.9738
MEM 42.929688 1683286427.0780
MEM 47.128906 1683286427.1835
MEM 48.085938 1683286427.2887
MEM 51.359375 1683286427.3942
MEM 59.726562 1683286427.4988
MEM 65.769531 1683286427.6040
MEM 69.589844 1683286427.7096
MEM 75.964844 1683286427.8147
MEM 78.484375 1683286427.9189
MEM 81.539062 1683286428.0233
MEM 82.261719 1683286428.1278
MEM 83.816406 1683286428.2330
MEM 85.015625 1683286428.3371
MEM 85.785156 1683286428.4420
MEM 86.761719 1683286428.5473
MEM 88.105469 1683286428.6515
MEM 89.082031 1683286428.7559
MEM 90.070312 1683286428.8600
MEM 90.070312 1683286428.9649
MEM 91.000000 1683286429.0689
MEM 91.730469 1683286429.1746
MEM 92.937500 1683286429.2789
MEM 94.316406 1683286429.3836
MEM 95.851562 1683286429.4881
MEM 98.570312 1683286429.5929
MEM 101.023438 1683286429.6972
MEM 103.527344 1683286429.8014
MEM 105.000000 1683286429.9060
MEM 107.343750 1683286430.0106
MEM 113.234375 1683286430.1161
MEM 137.148438 1683286430.2239
MEM 161.035156 1683286430.3283
MEM 166.714844 1683286430.4323
MEM 167.285156 1683286430.5370
MEM 183.542969 1683286430.6409
MEM 183.542969 1683286430.7450
MEM 183.453125 1683286430.8502
MEM 183.054688 1683286430.9555
MEM 183.070312 1683286431.0608
MEM 183.070312 1683286431.1661
MEM 183.070312 1683286431.2708
MEM 183.070312 1683286431.3772
MEM 183.070312 1683286431.4819
MEM 183.117188 1683286431.5883
MEM 183.117188 1683286431.6923
MEM 183.117188 1683286431.7962
MEM 183.117188 1683286431.9020
MEM 183.117188 1683286432.0061
MEM 183.570312 1683286432.1136
MEM 183.578125 1683286432.2178
MEM 183.582031 1683286432.3268
MEM 183.589844 1683286432.4320
MEM 183.589844 1683286432.5373
MEM 183.589844 1683286432.6429
MEM 183.593750 1683286432.7472
MEM 183.632812 1683286432.8528
MEM 183.632812 1683286432.9579
MEM 183.667969 1683286433.0630
MEM 183.675781 1683286433.1681
MEM 183.679688 1683286433.2729
MEM 183.683594 1683286433.3808
MEM 183.695312 1683286433.4861
MEM 184.292969 1683286433.5911
MEM 184.550781 1683286433.6961
MEM 184.550781 1683286433.8010
MEM 184.621094 1683286433.9059
MEM 184.621094 1683286434.0111
MEM 184.621094 1683286434.1169
MEM 184.621094 1683286434.2208
MEM 184.621094 1683286434.3259
MEM 184.621094 1683286434.4299
MEM 184.621094 1683286434.5339
MEM 184.621094 1683286434.6387
MEM 184.621094 1683286434.7439
MEM 184.621094 1683286434.8483
MEM 184.664062 1683286434.9539
MEM 184.707031 1683286435.0590
MEM 184.707031 1683286435.1644
MEM 184.707031 1683286435.2691
MEM 184.707031 1683286435.3748
MEM 184.707031 1683286435.4788
MEM 184.707031 1683286435.5840
MEM 184.707031 1683286435.6879
MEM 184.707031 1683286435.7926
MEM 184.386719 1683286435.8979
MEM 184.390625 1683286436.0020
MEM 184.390625 1683286436.1060
MEM 184.390625 1683286436.2117
MEM 184.390625 1683286436.3159
MEM 184.390625 1683286436.4205
MEM 184.343750 1683286436.5259
MEM 184.343750 1683286436.6300
MEM 184.343750 1683286436.7342
MEM 184.343750 1683286436.8391
MEM 184.343750 1683286436.9439
MEM 184.343750 1683286437.0479
MEM 184.343750 1683286437.1520
MEM 184.343750 1683286437.2581
MEM 184.343750 1683286437.3630
MEM 184.343750 1683286437.4684
MEM 184.343750 1683286437.5734
MEM 184.343750 1683286437.6791
MEM 184.343750 1683286437.7843
