CMDLINE C:\Users\boys4\AppData\Local\Programs\Python\Python310\python.exe main.py
MEM 1.484375 1683205436.5763
MEM 33.664062 1683205436.6847
MEM 83.035156 1683205436.7967
MEM 113.617188 1683205436.9070
MEM 157.472656 1683205437.0186
MEM 160.187500 1683205437.1296
MEM 166.023438 1683205437.2401
MEM 182.539062 1683205437.3503
MEM 182.539062 1683205437.4587
MEM 182.539062 1683205437.5676
MEM 182.539062 1683205437.6787
MEM 182.539062 1683205437.7892
MEM 182.546875 1683205437.8976
MEM 182.546875 1683205438.0077
MEM 182.546875 1683205438.1165
MEM 182.976562 1683205438.2281
MEM 183.027344 1683205438.3391
MEM 183.035156 1683205438.4468
MEM 183.035156 1683205438.5572
MEM 183.039062 1683205438.6652
MEM 196.421875 1683205438.7723
MEM 213.886719 1683205438.8820
MEM 214.656250 1683205438.9913
MEM 214.667969 1683205439.0992
MEM 214.671875 1683205439.2128
MEM 214.671875 1683205439.3202
MEM 214.679688 1683205439.4307
MEM 214.679688 1683205439.5388
MEM 214.679688 1683205439.6480
MEM 214.679688 1683205439.7569
MEM 214.679688 1683205439.8654
MEM 214.679688 1683205439.9730
MEM 214.679688 1683205440.0817
MEM 214.679688 1683205440.1891
MEM 214.679688 1683205440.2988
MEM 214.679688 1683205440.4087
MEM 214.523438 1683205440.5157
MEM 215.367188 1683205440.6260
MEM 215.867188 1683205440.7340
MEM 215.867188 1683205440.8428
MEM 215.867188 1683205440.9511
MEM 215.867188 1683205441.0592
MEM 215.867188 1683205441.1667
MEM 215.867188 1683205441.2747
MEM 215.867188 1683205441.3834
MEM 215.867188 1683205441.4917
MEM 215.867188 1683205441.5999
MEM 215.492188 1683205441.7097
MEM 215.187500 1683205441.8191
MEM 215.187500 1683205441.9280
MEM 215.187500 1683205442.0370
MEM 215.187500 1683205442.1447
MEM 215.187500 1683205442.2527
MEM 215.187500 1683205442.3595
MEM 215.187500 1683205442.4677
MEM 215.187500 1683205442.5761
MEM 215.187500 1683205442.6846
MEM 215.187500 1683205442.7951
MEM 215.203125 1683205442.9041
MEM 215.671875 1683205443.0124
MEM 215.707031 1683205443.1190
MEM 215.742188 1683205443.2275
MEM 215.695312 1683205443.3398
