CMDLINE C:\Users\boys4\AppData\Local\Programs\Python\Python310\python.exe main.py
MEM 1.484375 1683204251.2843
MEM 34.085938 1683204251.3976
MEM 83.472656 1683204251.5097
MEM 110.214844 1683204251.6196
MEM 143.484375 1683204251.7282
MEM 160.957031 1683204251.8402
MEM 166.585938 1683204251.9494
MEM 183.222656 1683204252.0591
MEM 183.222656 1683204252.1674
MEM 183.222656 1683204252.2754
MEM 183.222656 1683204252.3864
MEM 183.238281 1683204252.4954
MEM 183.242188 1683204252.6038
MEM 183.667969 1683204252.7164
MEM 183.675781 1683204252.8285
MEM 183.687500 1683204252.9365
MEM 185.742188 1683204253.0457
MEM 199.007812 1683204253.1575
MEM 214.402344 1683204253.2629
MEM 214.402344 1683204253.3703
MEM 214.414062 1683204253.4775
MEM 214.507812 1683204253.5914
MEM 214.507812 1683204253.6973
MEM 214.515625 1683204253.8062
MEM 214.734375 1683204253.9138
MEM 214.796875 1683204254.0219
MEM 214.796875 1683204254.1302
MEM 214.796875 1683204254.2405
MEM 214.800781 1683204254.3483
MEM 215.261719 1683204254.4614
MEM 215.265625 1683204254.5664
MEM 215.265625 1683204254.6736
MEM 215.265625 1683204254.7838
MEM 215.265625 1683204254.8994
MEM 215.265625 1683204255.0092
MEM 215.265625 1683204255.1174
MEM 215.273438 1683204255.2403
MEM 215.960938 1683204255.3470
MEM 216.160156 1683204255.4541
MEM 216.160156 1683204255.5643
MEM 216.160156 1683204255.6723
MEM 216.160156 1683204255.7823
MEM 216.160156 1683204255.8909
MEM 215.785156 1683204255.9980
MEM 215.785156 1683204256.1075
MEM 215.785156 1683204256.2166
MEM 215.785156 1683204256.3379
MEM 215.785156 1683204256.4451
MEM 215.785156 1683204256.5546
MEM 215.785156 1683204256.6623
MEM 215.785156 1683204256.7705
MEM 215.484375 1683204256.8817
MEM 215.484375 1683204256.9903
MEM 215.488281 1683204257.0989
MEM 215.488281 1683204257.2224
MEM 216.292969 1683204257.3415
MEM 216.335938 1683204257.4517
