CMDLINE C:\Users\boys4\AppData\Local\Programs\Python\Python310\python.exe main.py
MEM 2.000000 1683306603.1892
MEM 27.476562 1683306603.2945
MEM 40.820312 1683306603.4003
MEM 59.929688 1683306603.5059
MEM 80.011719 1683306603.6112
MEM 90.910156 1683306603.7167
MEM 104.300781 1683306603.8222
MEM 115.191406 1683306603.9280
MEM 139.730469 1683306604.0335
MEM 160.730469 1683306604.1368
MEM 166.402344 1683306604.2419
MEM 166.535156 1683306604.3470
MEM 183.281250 1683306604.4516
MEM 183.289062 1683306604.5570
MEM 183.289062 1683306604.6627
MEM 183.289062 1683306604.7681
MEM 183.289062 1683306604.8733
MEM 183.308594 1683306604.9784
MEM 183.308594 1683306605.0838
MEM 183.308594 1683306605.1919
MEM 183.718750 1683306605.2968
MEM 183.769531 1683306605.4019
MEM 183.781250 1683306605.5058
MEM 183.781250 1683306605.6112
MEM 183.781250 1683306605.7169
MEM 183.843750 1683306605.8225
MEM 183.843750 1683306605.9274
MEM 183.843750 1683306606.0324
MEM 183.843750 1683306606.1377
MEM 183.847656 1683306606.2430
MEM 183.855469 1683306606.3479
MEM 183.855469 1683306606.4691
MEM 184.093750 1683306606.5745
MEM 184.093750 1683306606.6798
MEM 184.093750 1683306606.7853
MEM 184.101562 1683306606.8908
MEM 184.105469 1683306606.9960
MEM 184.125000 1683306607.1015
MEM 184.125000 1683306607.2061
MEM 184.125000 1683306607.3119
MEM 184.187500 1683306607.4169
MEM 184.187500 1683306607.5227
MEM 184.187500 1683306607.6283
MEM 184.238281 1683306607.7334
MEM 184.238281 1683306607.8383
MEM 184.312500 1683306607.9439
MEM 184.312500 1683306608.0496
MEM 184.316406 1683306608.1546
MEM 184.316406 1683306608.2602
MEM 184.316406 1683306608.3656
MEM 184.316406 1683306608.4707
MEM 184.316406 1683306608.5762
MEM 184.031250 1683306608.6815
MEM 184.148438 1683306608.7870
MEM 184.148438 1683306608.8920
MEM 184.148438 1683306608.9978
MEM 184.148438 1683306609.1032
MEM 184.324219 1683306609.2078
MEM 184.324219 1683306609.3129
MEM 184.339844 1683306609.4187
MEM 184.339844 1683306609.5236
MEM 184.339844 1683306609.6289
MEM 184.339844 1683306609.7342
MEM 184.351562 1683306609.8391
MEM 184.351562 1683306609.9444
MEM 184.351562 1683306610.0499
MEM 184.351562 1683306610.1547
MEM 184.335938 1683306610.2600
MEM 184.335938 1683306610.3658
MEM 184.304688 1683306610.4712
MEM 184.304688 1683306610.5766
MEM 184.304688 1683306610.6844
MEM 184.304688 1683306610.7926
MEM 184.304688 1683306610.8969
MEM 184.304688 1683306611.0026
MEM 184.304688 1683306611.1076
MEM 184.304688 1683306611.2128
MEM 184.304688 1683306611.3179
MEM 184.347656 1683306611.4237
MEM 184.347656 1683306611.5286
MEM 184.347656 1683306611.6337
MEM 183.347656 1683306611.7390
MEM 183.347656 1683306611.8448
MEM 183.347656 1683306611.9503
MEM 183.347656 1683306612.0559
MEM 183.347656 1683306612.1616
MEM 183.347656 1683306612.2673
MEM 183.492188 1683306612.3722
MEM 183.492188 1683306612.4771
MEM 183.492188 1683306612.5818
MEM 183.492188 1683306612.6884
MEM 183.531250 1683306612.7938
MEM 183.531250 1683306612.8990
MEM 183.542969 1683306613.0059
MEM 183.542969 1683306613.1116
MEM 183.542969 1683306613.2203
MEM 183.542969 1683306613.3257
MEM 183.542969 1683306613.4312
MEM 183.542969 1683306613.5362
MEM 183.542969 1683306613.6416
MEM 183.542969 1683306613.7467
MEM 183.542969 1683306613.8522
MEM 183.542969 1683306613.9578
MEM 183.542969 1683306614.0633
MEM 183.582031 1683306614.1687
MEM 183.582031 1683306614.2730
MEM 183.699219 1683306614.3802
MEM 184.261719 1683306614.4858
MEM 184.273438 1683306614.5907
MEM 184.273438 1683306614.6960
MEM 184.292969 1683306614.8013
MEM 184.332031 1683306614.9065
MEM 184.343750 1683306615.0120
MEM 184.343750 1683306615.1171
MEM 184.406250 1683306615.2228
MEM 184.406250 1683306615.3282
MEM 184.406250 1683306615.4375
MEM 184.406250 1683306615.5432
MEM 184.406250 1683306615.6488
MEM 184.597656 1683306615.7539
MEM 184.597656 1683306615.8591
MEM 184.597656 1683306615.9648
MEM 184.597656 1683306616.0698
MEM 184.597656 1683306616.1783
MEM 184.597656 1683306616.2851
MEM 184.597656 1683306616.3931
MEM 184.597656 1683306616.5017
MEM 184.601562 1683306616.6102
MEM 184.601562 1683306616.7154
MEM 184.601562 1683306616.8206
MEM 184.601562 1683306616.9290
MEM 184.601562 1683306617.0363
MEM 184.601562 1683306617.1420
MEM 184.601562 1683306617.2474
MEM 184.601562 1683306617.3513
MEM 184.601562 1683306617.4569
MEM 184.601562 1683306617.5608
MEM 184.601562 1683306617.6661
MEM 184.601562 1683306617.7701
MEM 184.601562 1683306617.8755
MEM 184.601562 1683306617.9801
MEM 184.601562 1683306618.0852
MEM 184.601562 1683306618.1903
MEM 184.601562 1683306618.2984
MEM 184.601562 1683306618.4035
MEM 184.601562 1683306618.5082
MEM 184.601562 1683306618.6138
MEM 184.601562 1683306618.7188
MEM 184.601562 1683306618.8249
MEM 184.601562 1683306618.9298
MEM 184.601562 1683306619.0349
MEM 184.601562 1683306619.1406
MEM 184.601562 1683306619.2452
MEM 184.601562 1683306619.3492
MEM 184.601562 1683306619.4653
MEM 184.601562 1683306619.5707
MEM 184.601562 1683306619.6760
MEM 187.007812 1683306619.7814
MEM 187.011719 1683306619.8894
MEM 187.011719 1683306619.9940
MEM 188.988281 1683306620.0997
MEM 188.988281 1683306620.2048
MEM 188.988281 1683306620.3100
MEM 188.988281 1683306620.4151
MEM 188.988281 1683306620.5201
MEM 188.988281 1683306620.6256
MEM 188.988281 1683306620.7307
MEM 188.988281 1683306620.8358
MEM 188.988281 1683306620.9410
MEM 188.988281 1683306621.0461
MEM 188.988281 1683306621.1629
MEM 188.988281 1683306621.2680
MEM 188.988281 1683306621.3731
MEM 188.988281 1683306621.4782
MEM 188.988281 1683306621.5834
MEM 188.988281 1683306621.6885
MEM 188.988281 1683306621.7936
MEM 188.988281 1683306621.8987
MEM 188.988281 1683306622.0038
MEM 188.988281 1683306622.1090
MEM 188.988281 1683306622.2141
MEM 188.988281 1683306622.3192
MEM 188.988281 1683306622.4243
MEM 188.988281 1683306622.5299
MEM 188.988281 1683306622.6351
MEM 188.988281 1683306622.7407
MEM 188.988281 1683306622.8458
MEM 188.988281 1683306622.9509
MEM 188.988281 1683306623.0561
MEM 188.988281 1683306623.1612
MEM 188.988281 1683306623.2663
MEM 188.988281 1683306623.3714
MEM 188.988281 1683306623.4765
MEM 188.988281 1683306623.5817
MEM 188.988281 1683306623.6868
MEM 188.988281 1683306623.7919
MEM 188.988281 1683306623.8970
MEM 188.988281 1683306624.0021
MEM 188.988281 1683306624.1073
MEM 188.988281 1683306624.2124
MEM 188.988281 1683306624.3175
MEM 188.988281 1683306624.4226
MEM 188.988281 1683306624.5277
MEM 188.988281 1683306624.6329
MEM 188.988281 1683306624.7380
MEM 188.988281 1683306624.8431
MEM 188.988281 1683306624.9482
MEM 188.988281 1683306625.0533
MEM 188.988281 1683306625.1585
MEM 188.988281 1683306625.2636
MEM 188.988281 1683306625.3687
MEM 188.988281 1683306625.4738
MEM 188.988281 1683306625.5789
MEM 188.988281 1683306625.6841
MEM 188.988281 1683306625.7892
MEM 188.988281 1683306625.8943
MEM 188.988281 1683306625.9995
MEM 188.988281 1683306626.1046
MEM 188.988281 1683306626.2096
MEM 188.988281 1683306626.3145
MEM 188.988281 1683306626.4190
MEM 188.988281 1683306626.5241
MEM 188.988281 1683306626.6293
MEM 188.988281 1683306626.7342
MEM 188.988281 1683306626.8397
MEM 188.988281 1683306626.9454
MEM 188.988281 1683306627.0507
MEM 188.988281 1683306627.1557
MEM 188.988281 1683306627.2614
MEM 188.988281 1683306627.3670
MEM 188.988281 1683306627.4727
MEM 188.988281 1683306627.5782
MEM 188.988281 1683306627.6833
MEM 188.988281 1683306627.7890
MEM 188.988281 1683306627.8943
MEM 189.335938 1683306627.9997
MEM 189.382812 1683306628.1049
MEM 189.382812 1683306628.2103
MEM 189.382812 1683306628.3158
MEM 189.382812 1683306628.4215
MEM 189.382812 1683306628.5265
MEM 189.382812 1683306628.6319
MEM 189.382812 1683306628.7374
MEM 189.382812 1683306628.8431
MEM 189.382812 1683306628.9481
MEM 189.382812 1683306629.0637
MEM 189.382812 1683306629.1694
MEM 189.382812 1683306629.2749
MEM 189.382812 1683306629.3800
MEM 189.382812 1683306629.4854
MEM 189.382812 1683306629.5915
MEM 189.382812 1683306629.6969
MEM 189.382812 1683306629.8022
MEM 189.382812 1683306629.9074
MEM 189.382812 1683306630.0127
MEM 189.382812 1683306630.1170
MEM 189.382812 1683306630.2226
MEM 189.382812 1683306630.3280
MEM 189.382812 1683306630.4338
MEM 189.382812 1683306630.5390
MEM 189.382812 1683306630.6440
MEM 189.382812 1683306630.7497
MEM 189.382812 1683306630.8551
MEM 189.382812 1683306630.9603
MEM 189.382812 1683306631.0660
MEM 189.382812 1683306631.1712
MEM 189.382812 1683306631.2759
MEM 189.382812 1683306631.3816
MEM 189.382812 1683306631.4858
MEM 189.382812 1683306631.5914
MEM 189.382812 1683306631.6967
MEM 189.382812 1683306631.8019
MEM 189.382812 1683306631.9071
MEM 189.382812 1683306632.0122
MEM 189.382812 1683306632.1179
MEM 189.382812 1683306632.2231
MEM 189.382812 1683306632.3283
MEM 189.382812 1683306632.4336
MEM 189.382812 1683306632.5456
MEM 189.382812 1683306632.6508
MEM 189.382812 1683306632.7555
MEM 189.382812 1683306632.8612
MEM 189.382812 1683306632.9669
MEM 189.382812 1683306633.0726
MEM 189.382812 1683306633.1813
MEM 189.382812 1683306633.2870
MEM 189.382812 1683306633.3957
MEM 189.382812 1683306633.5009
MEM 189.382812 1683306633.6067
MEM 189.382812 1683306633.7119
MEM 189.382812 1683306633.8171
MEM 189.382812 1683306633.9223
MEM 189.367188 1683306634.0275
MEM 188.976562 1683306634.1333
MEM 188.976562 1683306634.2419
MEM 188.976562 1683306634.3476
MEM 188.976562 1683306634.4534
MEM 188.976562 1683306634.5587
MEM 188.976562 1683306634.6636
MEM 188.976562 1683306634.7693
MEM 188.976562 1683306634.8744
MEM 188.976562 1683306634.9797
MEM 188.976562 1683306635.0849
MEM 188.976562 1683306635.1901
MEM 188.976562 1683306635.2953
MEM 188.976562 1683306635.4005
MEM 188.976562 1683306635.5061
MEM 188.976562 1683306635.6118
MEM 188.976562 1683306635.7165
MEM 188.976562 1683306635.8222
MEM 188.976562 1683306635.9356
MEM 188.976562 1683306636.0409
MEM 188.976562 1683306636.1461
MEM 188.976562 1683306636.2518
MEM 188.976562 1683306636.3575
MEM 188.976562 1683306636.4632
MEM 188.976562 1683306636.5679
MEM 188.976562 1683306636.6731
MEM 188.976562 1683306636.7783
MEM 188.976562 1683306636.8840
MEM 188.976562 1683306636.9896
MEM 188.976562 1683306637.0948
MEM 186.542969 1683306637.2041
MEM 186.542969 1683306637.3092
MEM 186.542969 1683306637.4143
MEM 186.542969 1683306637.5206
MEM 186.542969 1683306637.6297
MEM 186.542969 1683306637.7349
MEM 186.542969 1683306637.8405
MEM 186.542969 1683306637.9462
MEM 186.542969 1683306638.0519
MEM 186.542969 1683306638.1570
MEM 186.542969 1683306638.2623
MEM 186.542969 1683306638.3675
MEM 186.542969 1683306638.4727
MEM 186.542969 1683306638.5769
MEM 186.542969 1683306638.6817
MEM 186.542969 1683306638.7869
MEM 186.542969 1683306638.8920
MEM 186.542969 1683306638.9972
MEM 186.542969 1683306639.1024
MEM 186.542969 1683306639.2105
MEM 186.542969 1683306639.3154
MEM 186.542969 1683306639.4206
MEM 186.542969 1683306639.5264
MEM 188.765625 1683306639.6307
MEM 188.765625 1683306639.7358
MEM 190.878906 1683306639.8415
MEM 190.933594 1683306639.9472
MEM 190.933594 1683306640.0529
MEM 190.933594 1683306640.1576
MEM 190.933594 1683306640.2629
MEM 190.933594 1683306640.3681
MEM 190.933594 1683306640.4762
MEM 190.933594 1683306640.5823
MEM 190.933594 1683306640.6874
MEM 190.933594 1683306640.7925
MEM 190.933594 1683306640.8982
MEM 190.933594 1683306641.0034
MEM 190.933594 1683306641.1091
MEM 190.933594 1683306641.2143
MEM 190.933594 1683306641.3199
MEM 190.933594 1683306641.4252
MEM 190.933594 1683306641.5305
MEM 190.933594 1683306641.6352
MEM 190.933594 1683306641.7408
MEM 190.933594 1683306641.8456
MEM 190.933594 1683306641.9505
MEM 190.933594 1683306642.0557
MEM 190.933594 1683306642.1614
MEM 190.933594 1683306642.2664
MEM 190.933594 1683306642.3715
MEM 190.933594 1683306642.4766
MEM 190.933594 1683306642.5828
MEM 190.933594 1683306642.6885
MEM 199.421875 1683306642.7936
MEM 236.203125 1683306642.8988
MEM 274.097656 1683306643.0046
MEM 312.273438 1683306643.1097
MEM 351.386719 1683306643.2149
MEM 390.546875 1683306643.3201
MEM 430.023438 1683306643.4253
MEM 469.652344 1683306643.5308
MEM 509.917969 1683306643.6350
MEM 549.175781 1683306643.7402
MEM 588.718750 1683306643.8453
MEM 627.164062 1683306643.9505
MEM 655.683594 1683306644.0558
MEM 688.738281 1683306644.1610
MEM 726.031250 1683306644.2662
MEM 726.167969 1683306644.3714
MEM 726.179688 1683306644.4765
MEM 726.199219 1683306644.5846
MEM 726.214844 1683306644.6892
MEM 727.417969 1683306644.7944
MEM 727.656250 1683306644.8996
MEM 727.867188 1683306645.0047
MEM 728.117188 1683306645.1105
MEM 737.109375 1683306645.2162
MEM 751.894531 1683306645.3218
MEM 761.839844 1683306645.4271
MEM 774.226562 1683306645.5328
MEM 789.042969 1683306645.6377
MEM 803.890625 1683306645.7424
MEM 818.671875 1683306645.8485
MEM 830.472656 1683306645.9536
MEM 837.285156 1683306646.0588
MEM 851.035156 1683306646.1645
MEM 864.691406 1683306646.2687
MEM 879.363281 1683306646.3739
MEM 893.363281 1683306646.4790
MEM 907.382812 1683306646.5842
MEM 921.359375 1683306646.6899
MEM 935.406250 1683306646.7941
MEM 949.238281 1683306646.8993
MEM 963.296875 1683306647.0036
MEM 977.109375 1683306647.1087
MEM 991.273438 1683306647.2139
MEM 1004.054688 1683306647.3191
MEM 1004.175781 1683306647.4243
MEM 1004.175781 1683306647.5294
MEM 1004.175781 1683306647.6345
MEM 1004.175781 1683306647.7387
MEM 1004.175781 1683306647.8439
MEM 1004.175781 1683306647.9490
MEM 1004.175781 1683306648.0542
MEM 1004.175781 1683306648.1598
MEM 1004.175781 1683306648.2656
MEM 1004.175781 1683306648.3707
MEM 1004.175781 1683306648.4764
MEM 1004.175781 1683306648.5825
MEM 1004.175781 1683306648.6883
MEM 1004.175781 1683306648.7935
MEM 1004.175781 1683306648.8987
MEM 1004.175781 1683306649.0039
MEM 832.531250 1683306649.1092
MEM 733.902344 1683306649.2144
MEM 733.902344 1683306649.3224
MEM 733.906250 1683306649.4281
MEM 734.941406 1683306649.5332
MEM 735.238281 1683306649.6383
MEM 735.457031 1683306649.7434
MEM 735.656250 1683306649.8486
MEM 735.929688 1683306649.9537
MEM 747.457031 1683306650.0588
MEM 759.050781 1683306650.1659
MEM 772.132812 1683306650.2710
MEM 788.433594 1683306650.3761
MEM 805.976562 1683306650.4813
MEM 823.511719 1683306650.5874
MEM 826.691406 1683306650.6925
MEM 841.199219 1683306650.7976
MEM 853.917969 1683306650.9027
MEM 867.781250 1683306651.0078
MEM 882.183594 1683306651.1133
MEM 896.589844 1683306651.2184
MEM 910.843750 1683306651.3235
MEM 925.253906 1683306651.4292
MEM 939.660156 1683306651.5338
MEM 953.558594 1683306651.6403
MEM 967.980469 1683306651.7448
MEM 982.132812 1683306651.8502
MEM 996.535156 1683306651.9552
MEM 1004.316406 1683306652.0609
MEM 1004.316406 1683306652.1660
MEM 1004.316406 1683306652.2718
MEM 1004.316406 1683306652.3769
MEM 1004.316406 1683306652.4825
MEM 1004.316406 1683306652.5877
MEM 1004.316406 1683306652.6934
MEM 1004.316406 1683306652.7986
MEM 1004.316406 1683306652.9042
MEM 1004.316406 1683306653.0096
MEM 1004.316406 1683306653.1148
MEM 1004.316406 1683306653.2228
MEM 1004.316406 1683306653.3278
MEM 1004.316406 1683306653.4334
MEM 1004.316406 1683306653.5386
MEM 1004.316406 1683306653.6439
MEM 1004.316406 1683306653.7494
MEM 737.011719 1683306653.8545
MEM 737.011719 1683306653.9596
MEM 737.000000 1683306654.0647
MEM 739.082031 1683306654.1698
MEM 739.722656 1683306654.2750
MEM 741.492188 1683306654.3801
MEM 753.421875 1683306654.4858
MEM 762.656250 1683306654.5899
MEM 782.750000 1683306654.6960
MEM 802.843750 1683306654.8011
MEM 819.871094 1683306654.9072
MEM 828.535156 1683306655.0124
MEM 838.210938 1683306655.1175
MEM 849.906250 1683306655.2226
MEM 863.507812 1683306655.3278
MEM 878.621094 1683306655.4329
MEM 892.109375 1683306655.5380
MEM 903.972656 1683306655.6432
MEM 917.601562 1683306655.7483
MEM 931.390625 1683306655.8534
MEM 943.527344 1683306655.9585
MEM 957.101562 1683306656.0636
MEM 970.816406 1683306656.1688
MEM 984.406250 1683306656.2739
MEM 997.914062 1683306656.3795
MEM 1010.074219 1683306656.4842
MEM 1010.074219 1683306656.5893
MEM 1010.074219 1683306656.6944
MEM 1010.074219 1683306656.7995
MEM 1010.074219 1683306656.9044
MEM 1010.074219 1683306657.0091
MEM 1010.074219 1683306657.1143
MEM 1010.074219 1683306657.2195
MEM 1010.074219 1683306657.3247
MEM 1010.101562 1683306657.4305
MEM 1010.101562 1683306657.5356
MEM 1010.105469 1683306657.6407
MEM 1010.109375 1683306657.7459
MEM 1010.109375 1683306657.8510
MEM 1010.113281 1683306657.9562
MEM 1010.113281 1683306658.0618
MEM 1010.113281 1683306658.1675
MEM 1010.113281 1683306658.2728
MEM 755.328125 1683306658.3785
MEM 745.542969 1683306658.4839
MEM 745.546875 1683306658.5885
MEM 746.765625 1683306658.6937
MEM 746.964844 1683306658.7988
MEM 747.382812 1683306658.9039
